Date,County,State,FIPS,Day,Cases,Deaths
2020-01-21,Snohomish,Washington,53061,0,1,0
2020-01-22,Snohomish,Washington,53061,1,1,0
2020-01-23,Snohomish,Washington,53061,2,1,0
2020-01-24,Cook,Illinois,17031,3,1,0
2020-01-24,Snohomish,Washington,53061,3,1,0
2020-01-25,Cook,Illinois,17031,4,1,0
2020-01-25,Orange,California,6059,4,1,0
2020-01-25,Snohomish,Washington,53061,4,1,0
2020-01-26,Cook,Illinois,17031,5,1,0
2020-01-26,Los Angeles,California,6037,5,1,0
2020-01-26,Maricopa,Arizona,4013,5,1,0
2020-01-26,Orange,California,6059,5,1,0
2020-01-26,Snohomish,Washington,53061,5,1,0
2020-01-27,Cook,Illinois,17031,6,1,0
2020-01-27,Los Angeles,California,6037,6,1,0
2020-01-27,Maricopa,Arizona,4013,6,1,0
2020-01-27,Orange,California,6059,6,1,0
2020-01-27,Snohomish,Washington,53061,6,1,0
2020-01-28,Cook,Illinois,17031,7,1,0
2020-01-28,Los Angeles,California,6037,7,1,0
2020-01-28,Maricopa,Arizona,4013,7,1,0
2020-01-28,Orange,California,6059,7,1,0
2020-01-28,Snohomish,Washington,53061,7,1,0
2020-01-29,Cook,Illinois,17031,8,1,0
2020-01-29,Los Angeles,California,6037,8,1,0
2020-01-29,Maricopa,Arizona,4013,8,1,0
2020-01-29,Orange,California,6059,8,1,0
2020-01-29,Snohomish,Washington,53061,8,1,0
2020-01-30,Cook,Illinois,17031,9,2,0
2020-01-30,Los Angeles,California,6037,9,1,0
2020-01-30,Maricopa,Arizona,4013,9,1,0
2020-01-30,Orange,California,6059,9,1,0
2020-01-30,Snohomish,Washington,53061,9,1,0
2020-01-31,Cook,Illinois,17031,10,2,0
2020-01-31,Los Angeles,California,6037,10,1,0
2020-01-31,Maricopa,Arizona,4013,10,1,0
2020-01-31,Orange,California,6059,10,1,0
2020-01-31,Santa Clara,California,6085,10,1,0
2020-01-31,Snohomish,Washington,53061,10,1,0
2020-02-01,Cook,Illinois,17031,11,2,0
2020-02-01,Los Angeles,California,6037,11,1,0
2020-02-01,Maricopa,Arizona,4013,11,1,0
2020-02-01,Orange,California,6059,11,1,0
2020-02-01,Santa Clara,California,6085,11,1,0
2020-02-01,Snohomish,Washington,53061,11,1,0
2020-02-01,Suffolk,Massachusetts,25025,11,1,0
2020-02-02,Cook,Illinois,17031,12,2,0
2020-02-02,Los Angeles,California,6037,12,1,0
2020-02-02,Maricopa,Arizona,4013,12,1,0
2020-02-02,Orange,California,6059,12,1,0
2020-02-02,San Francisco,California,6075,12,2,0
2020-02-02,Santa Clara,California,6085,12,2,0
2020-02-02,Snohomish,Washington,53061,12,1,0
2020-02-02,Suffolk,Massachusetts,25025,12,1,0
2020-02-03,Cook,Illinois,17031,13,2,0
2020-02-03,Los Angeles,California,6037,13,1,0
2020-02-03,Maricopa,Arizona,4013,13,1,0
2020-02-03,Orange,California,6059,13,1,0
2020-02-03,San Francisco,California,6075,13,2,0
2020-02-03,Santa Clara,California,6085,13,2,0
2020-02-03,Snohomish,Washington,53061,13,1,0
2020-02-03,Suffolk,Massachusetts,25025,13,1,0
2020-02-04,Cook,Illinois,17031,14,2,0
2020-02-04,Los Angeles,California,6037,14,1,0
2020-02-04,Maricopa,Arizona,4013,14,1,0
2020-02-04,Orange,California,6059,14,1,0
2020-02-04,San Francisco,California,6075,14,2,0
2020-02-04,Santa Clara,California,6085,14,2,0
2020-02-04,Snohomish,Washington,53061,14,1,0
2020-02-04,Suffolk,Massachusetts,25025,14,1,0
2020-02-05,Cook,Illinois,17031,15,2,0
2020-02-05,Dane,Wisconsin,55025,15,1,0
2020-02-05,Los Angeles,California,6037,15,1,0
2020-02-05,Maricopa,Arizona,4013,15,1,0
2020-02-05,Orange,California,6059,15,1,0
2020-02-05,San Francisco,California,6075,15,2,0
2020-02-05,Santa Clara,California,6085,15,2,0
2020-02-05,Snohomish,Washington,53061,15,1,0
2020-02-05,Suffolk,Massachusetts,25025,15,1,0
2020-02-06,Cook,Illinois,17031,16,2,0
2020-02-06,Dane,Wisconsin,55025,16,1,0
2020-02-06,Los Angeles,California,6037,16,1,0
2020-02-06,Maricopa,Arizona,4013,16,1,0
2020-02-06,Orange,California,6059,16,1,0
2020-02-06,San Francisco,California,6075,16,2,0
2020-02-06,Santa Clara,California,6085,16,2,0
2020-02-06,Snohomish,Washington,53061,16,1,0
2020-02-06,Suffolk,Massachusetts,25025,16,1,0
2020-02-07,Cook,Illinois,17031,17,2,0
2020-02-07,Dane,Wisconsin,55025,17,1,0
2020-02-07,Los Angeles,California,6037,17,1,0
2020-02-07,Maricopa,Arizona,4013,17,1,0
2020-02-07,Orange,California,6059,17,1,0
2020-02-07,San Francisco,California,6075,17,2,0
2020-02-07,Santa Clara,California,6085,17,2,0
2020-02-07,Snohomish,Washington,53061,17,1,0
2020-02-07,Suffolk,Massachusetts,25025,17,1,0
2020-02-08,Cook,Illinois,17031,18,2,0
2020-02-08,Dane,Wisconsin,55025,18,1,0
2020-02-08,Los Angeles,California,6037,18,1,0
2020-02-08,Maricopa,Arizona,4013,18,1,0
2020-02-08,Orange,California,6059,18,1,0
2020-02-08,San Francisco,California,6075,18,2,0
2020-02-08,Santa Clara,California,6085,18,2,0
2020-02-08,Snohomish,Washington,53061,18,1,0
2020-02-08,Suffolk,Massachusetts,25025,18,1,0
2020-02-09,Cook,Illinois,17031,19,2,0
2020-02-09,Dane,Wisconsin,55025,19,1,0
2020-02-09,Los Angeles,California,6037,19,1,0
2020-02-09,Maricopa,Arizona,4013,19,1,0
2020-02-09,Orange,California,6059,19,1,0
2020-02-09,San Francisco,California,6075,19,2,0
2020-02-09,Santa Clara,California,6085,19,2,0
2020-02-09,Snohomish,Washington,53061,19,1,0
2020-02-09,Suffolk,Massachusetts,25025,19,1,0
2020-02-10,Cook,Illinois,17031,20,2,0
2020-02-10,Dane,Wisconsin,55025,20,1,0
2020-02-10,Los Angeles,California,6037,20,1,0
2020-02-10,Maricopa,Arizona,4013,20,1,0
2020-02-10,Orange,California,6059,20,1,0
2020-02-10,San Diego,California,6073,20,1,0
2020-02-10,San Francisco,California,6075,20,2,0
2020-02-10,Santa Clara,California,6085,20,2,0
2020-02-10,Snohomish,Washington,53061,20,1,0
