Date,State,Day,Cases,Deaths,Code
2020-01-21,Washington,0,1,0,WA
2020-01-22,Washington,1,1,0,WA
2020-01-23,Washington,2,1,0,WA
2020-01-24,Illinois,3,1,0,IL
2020-01-24,Washington,3,1,0,WA
2020-01-25,California,4,1,0,CA
2020-01-25,Illinois,4,1,0,IL
2020-01-25,Washington,4,1,0,WA
2020-01-26,Arizona,5,1,0,AZ
2020-01-26,California,5,2,0,CA
2020-01-26,Illinois,5,1,0,IL
2020-01-26,Washington,5,1,0,WA
2020-01-27,Arizona,6,1,0,AZ
2020-01-27,California,6,2,0,CA
2020-01-27,Illinois,6,1,0,IL
2020-01-27,Washington,6,1,0,WA
2020-01-28,Arizona,7,1,0,AZ
2020-01-28,California,7,2,0,CA
2020-01-28,Illinois,7,1,0,IL
2020-01-28,Washington,7,1,0,WA
2020-01-29,Arizona,8,1,0,AZ
2020-01-29,California,8,2,0,CA
2020-01-29,Illinois,8,1,0,IL
2020-01-29,Washington,8,1,0,WA
2020-01-30,Arizona,9,1,0,AZ
2020-01-30,California,9,2,0,CA
2020-01-30,Illinois,9,2,0,IL
2020-01-30,Washington,9,1,0,WA
2020-01-31,Arizona,10,1,0,AZ
2020-01-31,California,10,3,0,CA
2020-01-31,Illinois,10,2,0,IL
2020-01-31,Washington,10,1,0,WA
2020-02-01,Arizona,11,1,0,AZ
2020-02-01,California,11,3,0,CA
2020-02-01,Illinois,11,2,0,IL
2020-02-01,Massachusetts,11,1,0,MA
2020-02-01,Washington,11,1,0,WA
2020-02-02,Arizona,12,1,0,AZ
2020-02-02,California,12,6,0,CA
2020-02-02,Illinois,12,2,0,IL
2020-02-02,Massachusetts,12,1,0,MA
2020-02-02,Washington,12,1,0,WA
2020-02-03,Arizona,13,1,0,AZ
2020-02-03,California,13,6,0,CA
2020-02-03,Illinois,13,2,0,IL
2020-02-03,Massachusetts,13,1,0,MA
2020-02-03,Washington,13,1,0,WA
2020-02-04,Arizona,14,1,0,AZ
2020-02-04,California,14,6,0,CA
2020-02-04,Illinois,14,2,0,IL
2020-02-04,Massachusetts,14,1,0,MA
2020-02-04,Washington,14,1,0,WA
2020-02-05,Arizona,15,1,0,AZ
2020-02-05,California,15,6,0,CA
2020-02-05,Illinois,15,2,0,IL
2020-02-05,Massachusetts,15,1,0,MA
2020-02-05,Washington,15,1,0,WA
2020-02-05,Wisconsin,15,1,0,WI
2020-02-06,Arizona,16,1,0,AZ
2020-02-06,California,16,6,0,CA
2020-02-06,Illinois,16,2,0,IL
2020-02-06,Massachusetts,16,1,0,MA
2020-02-06,Washington,16,1,0,WA
2020-02-06,Wisconsin,16,1,0,WI
2020-02-07,Arizona,17,1,0,AZ
2020-02-07,California,17,6,0,CA
2020-02-07,Illinois,17,2,0,IL
2020-02-07,Massachusetts,17,1,0,MA
2020-02-07,Washington,17,1,0,WA
2020-02-07,Wisconsin,17,1,0,WI
2020-02-08,Arizona,18,1,0,AZ
2020-02-08,California,18,6,0,CA
2020-02-08,Illinois,18,2,0,IL
2020-02-08,Massachusetts,18,1,0,MA
2020-02-08,Washington,18,1,0,WA
2020-02-08,Wisconsin,18,1,0,WI
2020-02-09,Arizona,19,1,0,AZ
2020-02-09,California,19,6,0,CA
2020-02-09,Illinois,19,2,0,IL
2020-02-09,Massachusetts,19,1,0,MA
2020-02-09,Washington,19,1,0,WA
2020-02-09,Wisconsin,19,1,0,WI
2020-02-10,Arizona,20,1,0,AZ
2020-02-10,California,20,7,0,CA
2020-02-10,Illinois,20,2,0,IL
2020-02-10,Massachusetts,20,1,0,MA
2020-02-10,Washington,20,1,0,WA
2020-02-10,Wisconsin,20,1,0,WI
2020-02-11,Arizona,21,1,0,AZ
2020-02-11,California,21,7,0,CA
2020-02-11,Illinois,21,2,0,IL
2020-02-11,Massachusetts,21,1,0,MA
2020-02-11,Washington,21,1,0,WA
2020-02-11,Wisconsin,21,1,0,WI
2020-02-12,Arizona,22,1,0,AZ
2020-02-12,California,22,7,0,CA
2020-02-12,Illinois,22,2,0,IL
2020-02-12,Massachusetts,22,1,0,MA
2020-02-12,Texas,22,1,0,TX
2020-02-12,Washington,22,1,0,WA
2020-02-12,Wisconsin,22,1,0,WI
2020-02-13,Arizona,23,1,0,AZ
2020-02-13,California,23,7,0,CA
2020-02-13,Illinois,23,2,0,IL
2020-02-13,Massachusetts,23,1,0,MA
2020-02-13,Texas,23,2,0,TX
2020-02-13,Washington,23,1,0,WA
2020-02-13,Wisconsin,23,1,0,WI
2020-02-14,Arizona,24,1,0,AZ
2020-02-14,California,24,7,0,CA
2020-02-14,Illinois,24,2,0,IL
2020-02-14,Massachusetts,24,1,0,MA
2020-02-14,Texas,24,2,0,TX
2020-02-14,Washington,24,1,0,WA
2020-02-14,Wisconsin,24,1,0,WI
2020-02-15,Arizona,25,1,0,AZ
2020-02-15,California,25,7,0,CA
2020-02-15,Illinois,25,2,0,IL
2020-02-15,Massachusetts,25,1,0,MA
2020-02-15,Texas,25,2,0,TX
2020-02-15,Washington,25,1,0,WA
2020-02-15,Wisconsin,25,1,0,WI
2020-02-16,Arizona,26,1,0,AZ
2020-02-16,California,26,7,0,CA
2020-02-16,Illinois,26,2,0,IL
2020-02-16,Massachusetts,26,1,0,MA
2020-02-16,Texas,26,2,0,TX
2020-02-16,Washington,26,1,0,WA
2020-02-16,Wisconsin,26,1,0,WI
2020-02-17,Arizona,27,1,0,AZ
2020-02-17,California,27,7,0,CA
2020-02-17,Illinois,27,2,0,IL
2020-02-17,Massachusetts,27,1,0,MA
2020-02-17,Nebraska,27,10,0,NE
2020-02-17,Texas,27,2,0,TX
2020-02-17,Washington,27,1,0,WA
2020-02-17,Wisconsin,27,1,0,WI
2020-02-18,Arizona,28,1,0,AZ
2020-02-18,California,28,7,0,CA
2020-02-18,Illinois,28,2,0,IL
2020-02-18,Massachusetts,28,1,0,MA
2020-02-18,Nebraska,28,10,0,NE
2020-02-18,Texas,28,2,0,TX
2020-02-18,Washington,28,1,0,WA
2020-02-18,Wisconsin,28,1,0,WI
2020-02-19,Arizona,29,1,0,AZ
2020-02-19,California,29,7,0,CA
2020-02-19,Illinois,29,2,0,IL
2020-02-19,Massachusetts,29,1,0,MA
2020-02-19,Nebraska,29,10,0,NE
2020-02-19,Texas,29,2,0,TX
2020-02-19,Washington,29,1,0,WA
2020-02-19,Wisconsin,29,1,0,WI
2020-02-20,Arizona,30,1,0,AZ
2020-02-20,California,30,8,0,CA
2020-02-20,Illinois,30,2,0,IL
2020-02-20,Massachusetts,30,1,0,MA
2020-02-20,Nebraska,30,11,0,NE
2020-02-20,Texas,30,2,0,TX
2020-02-20,Washington,30,1,0,WA
2020-02-20,Wisconsin,30,1,0,WI
2020-02-21,Arizona,31,1,0,AZ
2020-02-21,California,31,9,0,CA
2020-02-21,Illinois,31,2,0,IL
2020-02-21,Massachusetts,31,1,0,MA
2020-02-21,Nebraska,31,11,0,NE
2020-02-21,Texas,31,4,0,TX
2020-02-21,Washington,31,1,0,WA
